AB10,S,1
AB11,S,1
AB12,S,1
AB13,S,6
AB14,S,3
AB15,S,1
AB16,S,1
AB21,S,1
AB22,S,1
AB23,S,1
AB24,S,1
AB25,S,1
AB30,S,6
AB31,S,7
AB32,S,2
AB33,S,7
AB34,S,7
AB35,S,8
AB36,S,8
AB37,S,7
AB38,S,6
AB39,S,2
AB41,S,6
AB42,S,6
AB43,S,6
AB44,S,4
AB45,S,7
AB51,S,6
AB52,S,6
AB53,S,7
AB54,S,7
AB55,S,7
AB56,S,4
AB99,S,1
AL1,E,5
AL10,E,5
AL2,E,5
AL3,E,5
AL4,E,5
AL5,E,5
AL6,E,5
AL7,E,5
AL8,E,5
AL9,E,5
B1,E,5
B10,E,5
B11,E,5
B12,E,5
B13,E,5
B14,E,5
B15,E,5
B16,E,5
B17,E,5
B18,E,5
B19,E,5
B2,E,5
B20,E,5
B21,E,5
B23,E,5
B24,E,5
B25,E,5
B26,E,5
B27,E,5
B28,E,5
B29,E,5
B3,E,5
B30,E,5
B31,E,5
B32,E,5
B33,E,5
B34,E,5
B35,E,5
B36,E,5
B37,E,5
B38,E,5
B4,E,5
B40,E,5
B42,E,5
B43,E,5
B44,E,5
B45,E,5
B46,E,5
B47,E,5
B48,E,8
B49,E,6
B5,E,5
B50,E,6
B6,E,5
B60,E,5
B61,E,5
B62,E,5
B63,E,5
B64,E,5
B65,E,5
B66,E,5
B67,E,5
B68,E,5
B69,E,5
B7,E,5
B70,E,5
B71,E,5
B72,E,5
B73,E,5
B74,E,5
B75,E,5
B76,E,5
B77,E,5
B78,E,6
B79,E,5
B8,E,5
B80,E,6
B9,E,5
B90,E,5
B91,E,5
B92,E,5
B93,E,5
B94,E,7
B95,E,6
B96,E,8
B97,E,5
B98,E,5
B99,E,5
BA1,E,5
BA10,E,6
BA11,E,5
BA12,E,5
BA13,E,5
BA14,E,5
BA15,E,6
BA16,E,5
BA2,E,5
BA20,E,5
BA21,E,5
BA22,E,7
BA3,E,5
BA4,E,6
BA5,E,5
BA6,E,6
BA7,E,6
BA8,E,6
BA9,E,6
BB1,E,5
BB10,E,5
BB11,E,5
BB12,E,5
BB18,E,5
BB2,E,5
BB3,E,5
BB4,E,5
BB5,E,5
BB6,E,5
BB7,E,5
BB8,E,5
BB9,E,5
BD1,E,5
BD10,E,5
BD11,E,5
BD12,E,5
BD13,E,5
BD14,E,5
BD15,E,5
BD16,E,5
BD17,E,5
BD18,E,5
BD19,E,5
BD2,E,5
BD20,E,5
BD21,E,5
BD22,E,5
BD23,E,5
BD24,E,2
BD3,E,5
BD4,E,5
BD5,E,5
BD6,E,5
BD7,E,5
BD8,E,5
BD9,E,5
BD97,E,5
BD98,E,5
BD99,E,5
BH1,E,5
BH10,E,5
BH11,E,5
BH12,E,5
BH13,E,5
BH14,E,5
BH15,E,5
BH16,E,5
